313-      seqable?      14
314-      file-seq      13
315-      qualified-keyword?      13
316-      sorted-map      13
317-      record?      12
318-      Throwable->map      12
319-      subseq      12
320-      not-any?      12
321-      remove-watch      11
322-      interleave      11
323-      nnext      11
324-      float?      11
325-      proxy-super      10
326-      reduced?      10
327-      munge      10
328-      compare-and-set!      10
329-      ifn?      9
330-      macroexpand      9
331-      with-precision      9
332-      pop!      9
333-      uri?      9
334-      make-array      9
335-      future-cancel      9
336-      var?      9
337-      iterator-seq      9
338-      tap>      9
339-      unreduced      9
340-      find-ns      8
341-      simple-keyword?      8
342-      max-key      8
343-      in-ns      8
344-      ns-resolve      8
345-      delay?      8
346-      ident?      7
347-      with-redefs-fn      7
348-      send-via      7
349-      map-entry?      7
350-      split-at      7
351-      the-ns      7
352-      char-array      7
353-      ns-interns      6
354-      inst?      6
355-      destructure      6
356-      ns-publics      6
357-      double?      5
358-      inst-ms*      5
359-      neg-int?      5
360-      add-tap      5
361-      with-bindings*      5
362-      enumeration-seq      5
363-      sorted-map-by      5
364-      rseq      5
365-      make-hierarchy      5
366-      biginteger      5
367-      sorted-set      4
368-      with-bindings      4
369-      nat-int?      4
370-      supers      4
371-      StackTraceElement      4
372-      bit-shift-left      4
373-      future?      4
374-      simple-symbol?      4
375-      take-nth      4
376-      simple-ident?      4
377-      commute      3
378-      char?      3
379-      floats      3
380-      ns-aliases      3
381-      hash-set      3
382-      decimal?      3
383-      swap-vals!      3
384-      ratio?      3
385-      await      3
386-      lazy-cat      3
387-      qualified-symbol?      3
388-      re-groups      3
389-      tagged-literal      2
390-      areduce      2
391-      reset-meta!      2
392-      line-seq      2
393-      qualified-ident?      2
394-      bit-and      2
395-      set-error-mode!      2
396-      reset-vals!      2
397-      intern      2
398-      remove-method      2
399-      memfn      2
400-      future-done?      2
401-      min-key      2
402-      set-error-handler!      2
403-      amap      2
404-      indexed?      1
405-      find-var      1
406-      hash-unordered-coll      1
407-      read-line      1
408-      rational?      1
409-      ns-refers      1
410-      object-array      1
411-      re-matcher      1
412-      replicate      1
413-      resultset-seq      1
414-      not-every?      1
415-      io!      1
416-      ensure-reduced      1
417-      add-classpath      1
418-      reductions      1
419-      dissoc!      1
420-      loaded-libs      1
421-      rsubseq      1
422-      underive      1
423-      all-ns      1
424-      future-call      1
425-      sorted-set-by      1
426-      bit-shift-right      1
427-      future-cancelled?      1
428-      ns-unalias      1
429-      bit-test      1
430-      unchecked-add      1
431-      unsigned-bit-shift-right      1
432-      bit-xor      1
433-      prefers      1
434-      associative?      1
435-      shutdown-agents      1
436-      macroexpand-1      1
437-      aclone      0
438-      init-proxy      0
439-      error-mode      0
440-      bit-and-not      0
441-      remove-tap      0
442-      construct-proxy      0
443-      hash-combine      0
444-      pcalls      0
445-      namespace-munge      0
446-      nthnext      0
447-      create-ns      0
448-      clear-agent-errors      0
449-      aset-char      0
450-      boolean-array      0
451-      unchecked-negate      0
452-      method-sig      0
453-      find-protocol-method      0
454-      when-first      0
455-      ref-min-history      0
456-      bit-not      0
457-      nthrest      0
458-      chunk-first      0
459-      unchecked-inc-int      0
460-      create-struct      0
461-      reader-conditional?      0
462-      bit-set      0
463-      unchecked-subtract      0
464-      aset-boolean      0
465-      primitives-classnames      0
466-      disj!      0
467-      thread-bound?      0
468-      unchecked-multiply      0
469-      tagged-literal?      0
470-      aset-short      0
471-      to-array-2d      0
472-      with-local-vars      0
473-      struct-map      0
474-      load-reader      0
475-      unchecked-byte      0
476-      extends?      0
477-      unchecked-int      0
478-      fnext      0
479-      monitor-exit      0
480-      find-keyword      0
481-      push-thread-bindings      0
482-      aset-float      0
483-      set-validator!      0
484-      random-sample      0
485-      unchecked-long      0
486-      aset-byte      0
487-      extenders      0
488-      pop-thread-bindings      0
489-      read+string      0
490-      await1      0
491-      dec'      0
492-      default-data-readers      0
493-      proxy-call-with-super      0
494-      int-array      0
495-      unchecked-negate-int      0
496-      bit-clear      0
497-      nfirst      0
498-      find-protocol-impl      0
499-      unchecked-divide-int      0
500-      sorted?      0
501-      restart-agent      0
502-      agent-errors      0
503-      xml-seq      0
504-      unchecked-double      0
505-      chunk-cons      0
506-      remove-all-methods      0
507-      halt-when      0
508-      get-proxy-class      0
509-      proxy-name      0
510-      char-escape-string      0
511-      chunk-buffer      0
512-      send-off      0
513-      get-validator      0
514-      proxy-mappings      0
515-      gen-interface      0
516-      unchecked-float      0
517-      unchecked-dec-int      0
518-      mix-collection-hash      0
519-      unchecked-char      0
520-      rationalize      0
521-      counted?      0
522-      unchecked-short      0
523-      update-proxy      0
524-      long-array      0
525-      aset-double      0
526-      await-for      0
527-      char-name-string      0
528-      inc'      0
529-      get-thread-bindings      0
530-      unchecked-subtract-int      0
531-      double-array      0
532-      monitor-enter      0
533-      ref-history-count      0
534-      ns-imports      0
535-      load-string      0
536-      unchecked-inc      0
537-      chunk-rest      0
538-      var-set      0
539-      remove-ns      0
540-      bit-or      0
541-      reader-conditional      0
542-      release-pending-sends      0
543-      unchecked-multiply-int      0
544-      ref-max-history      0
545-      float-array      0
546-      with-in-str      0
547-      agent-error      0
548-      unchecked-dec      0
549-      unchecked-add-int      0
550-      seque      0
551-      reversible?      0
552-      short-array      0
553-      chunk-next      0
554-      chunked-seq?      0
555-      volatile?      0
556-      bit-flip      0
557-      set-agent-send-off-executor!      0
558-      chunk-append      0
559-      set-agent-send-executor!      0
560-      vector-of      0
561-      special-symbol?      0
562-      hash-ordered-coll      0
563-      pvalues      0
564-      shorts      0
565-      aset-int      0
